num,PCEpre,A2X,P2X,rA,PCEpost,POLY
1,19.2,0.333,0.35,2.444,20.5,0
2,19.2,0.333,0.35,2.444,20.5,0
3,19.2,0.333,0.35,2.444,20.9,0
4,19.45,0.322,0.339,2.399513,21.01,1
5,15.01,0.6,0.2,2.16,19.01,1
6,15.01,0.6,0.2,2.16,18.61,1
7,15.01,0.6,0.2,2.16,18.35,1
8,15.01,0.6,0.2,2.16,17.83,1
9,15.01,0.6,0.2,2.16,17.66,1
10,17.48,0.333,0.333,2.16,19.57,0
11,15.7,0.333,0.333,2.53,19.2,0
12,16.1,0.333,0.333,2.16,18.1,1
13,18.08,0.33,0.335,2.41907,18.87,0
14,18.08,0.33,0.335,2.41907,18.82,0
15,18.08,0.33,0.335,2.41907,19.17,0
16,18.08,0.33,0.335,2.41907,19.44,0
17,18.08,0.33,0.335,2.41907,19.89,0
18,18.08,0.33,0.335,2.41907,19.2,0
19,18.9,0.325,0.338,2.473094,20.5,0
20,17.02,0.33,0.335,2.41907,18.51,0
21,20.7,0.38,0.31,2.417705,22,0
22,20.7,0.38,0.31,2.417705,22.4,0
23,20.7,0.38,0.31,2.417705,22.1,0
24,18.35,0.323,0.339,2.16,20.28,0
25,18.35,0.323,0.339,2.16,18.74,0
26,18.35,0.323,0.339,2.16,19.02,0
27,20.72,0.327,0.337,2.4587,22.3,0
28,20.72,0.327,0.337,2.4587,21.6,0
29,20.72,0.327,0.337,2.4587,20.9,0
30,19.22,0.321,0.339,2.41907,20.54,0
31,16.4,0.333,0.333,2.4745,19.2,0
32,18.83,0.325,0.337,2.436142,19.43,0
33,18.83,0.325,0.337,2.436142,20.62,0
34,19.52,0.4,0.3,2.424883,21.19,0
35,20.45,0.324,0.333,2.45185,20.5,0
36,18.5,0.324,0.338,2.427299,19.6,0
37,19,0.324,0.338,2.427299,20,0
38,19,0.324,0.338,2.427299,19.1,0
39,19,0.324,0.338,2.427299,19.4,0
40,17.43,0.325,0.337,2.427245,20.62,0
41,20.28,0.338,0.331,2.398425,20.8,1
42,19.55,0.4,0.3,2.391916,21.09,0
43,19.55,0.4,0.3,2.391916,22.09,0
44,19.93,0.435,0.283,2.53,22.48,0
45,19.93,0.435,0.283,2.53,23.07,0
46,20.1,0.315,0.342,2.435096,21.7,0
47,20.1,0.315,0.342,2.435096,22.6,0
48,18.14,0.33,0.335,2.418672,20.56,0
49,19.17,0.327,0.336,2.45,21.94,0
50,19.71,0.4,0.3,2.391916,21.29,0
51,20.52,0.338,0.331,2.426218,21.2,0
52,19.24,0.326,0.337,2.421379,20.46,1
53,16.99,0.333,0.333,2.16,18.95,0
54,19.62,0.333,0.333,2.5115,20.28,0
55,18.52,0.333,0.333,2.16,20.13,0
56,18.52,0.333,0.333,2.16,19.41,0
57,16.8,0.334,0.333,2.16,20.4,1
58,20.9,0.333,0.333,2.479188,21.9,1
59,19.3,0.338,0.34,2.431971,21.6,0
60,19.01,0.333,0.333,2.16,20.47,0
61,19.32,0.335,0.332,2.43428,20.93,0
62,19.32,0.335,0.332,2.43428,20.47,0
63,19.8,0.321,0.339,2.4364,20.9,1
64,19.61,0.323,0.338,2.449865,21.11,0
65,19.48,0.398,0.301,2.373838,21.53,0
66,19.1,0.332,0.334,2.430202,20.04,0
67,18.26,0.316,0.342,2.468321,19.17,0
68,18.26,0.316,0.342,2.468321,18.38,0
69,17.2,0.335,0.332,2.16,19.02,0
70,19.7,0.333,0.333,2.4315,20.9,0
71,17.65,0.344,0.328,2.429161,18.31,0
72,17.92,0.313,0.344,2.493,18.97,0
73,18.61,0.333,0.333,2.16,19.89,0
74,17.2,0.333,0.333,2.358,19.1,1
75,17.51,0.333,0.333,2.16,18.83,1
76,19.25,0.328,0.336,2.43428,20.56,0
77,21.09,0.333,0.333,2.4612,23.25,0
78,17.94,0.429,0.286,2.197,20.16,0
79,19.3,0.342,0.329,2.16,20.7,0
80,18.41,0.333,0.333,2.16,19.42,0
81,19.45,0.326,0.337,2.453644,20.83,0
82,20.61,0.338,0.331,2.398135,22.66,0
83,20.61,0.338,0.331,2.398135,23.38,0
84,20.61,0.338,0.331,2.398803,23.62,0
85,19.76,0.375,0.313,2.53,21.95,0
86,22.67,0.32,0.34,2.53,24.33,0
87,18.64,0.333,0.333,2.16,20.15,0
88,19.36,0.333,0.333,2.4745,21.37,1
89,14.16,0.333,0.333,2.53,17.49,1
90,20.62,0.319,0.34,2.480621,22.16,0
91,18.05,0.333,0.333,2.4315,19.1,0
92,18.05,0.333,0.333,2.4315,19.13,0
93,18.05,0.333,0.333,2.4315,21.04,0
94,20.06,0.334,0.333,3.939915,21.15,0
95,18.87,0.333,0.333,2.16,21.06,0
96,17.5,0.324,0.338,2.427299,18.2,0
97,17.5,0.324,0.338,2.427299,20.1,0
98,20.4,0.384,0.308,2.387286,21.7,0
99,20.4,0.384,0.308,2.387286,21.2,0
100,18.9,0.316,0.342,2.468321,21.6,0
101,19.22,0.325,0.337,2.436142,20.31,0
102,18.03,0.365,0.317,2.16,20.05,0
103,20.1,0.326,0.337,2.45,22.25,0
104,20.1,0.326,0.337,2.45,22.78,0
105,20.1,0.326,0.337,2.45,21.92,0
